trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.877939441876373, 'e': 0.951229424500714}",25,0,-114.66867579912824,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.877939441876373, 'e': 0.9048374180359595}",25,0,-49.81102318336555,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.877939441876373, 'e': 0.8607079764250578}",20,0,-107.90904074695773,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.877939441876373, 'e': 0.8187307530779818}",20,0,-135.63202992201136,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.877939441876373, 'e': 0.7788007830714049}",20,0,-75.174558097789,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
6,False,"{'a': 0.877939441876373, 'e': 0.7408182206817179}",30,0,-177.4569768274645,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
7,False,"{'a': 0.877939441876373, 'e': 0.7046880897187134}",25,0,-99.44044434105662,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.877939441876373, 'e': 0.6703200460356393}",35,9,-39.035445388161165,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 1}",1
9,False,"{'a': 0.877939441876373, 'e': 0.6376281516217733}",30,0,-89.48240538540085,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.877939441876373, 'e': 0.6065306597126334}",30,0,-240.88292481805092,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 5}",0
11,False,"{'a': 0.877939441876373, 'e': 0.5769498103804866}",20,0,-66.62696725588046,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.877939441876373, 'e': 0.5488116360940264}",25,0,-116.66572132948862,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.877939441876373, 'e': 0.522045776761016}",20,12,-39.448266697407874,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.877939441876373, 'e': 0.49658530379140947}",25,0,-6.702348485536964,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.877939441876373, 'e': 0.4723665527410147}",30,0,-83.85929837098145,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.877939441876373, 'e': 0.44932896411722156}",20,0,2.791179171572338,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.877939441876373, 'e': 0.42741493194872665}",20,0,10.41541281720236,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.877939441876373, 'e': 0.4065696597405991}",20,0,-67.65683081547189,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.877939441876373, 'e': 0.3867410234545012}",25,0,-24.755527500117957,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
20,False,"{'a': 0.877939441876373, 'e': 0.36787944117144233}",25,0,4.452527572762377,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
21,False,"{'a': 0.877939441876373, 'e': 0.3499377491111553}",20,0,9.478437008626408,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
22,False,"{'a': 0.877939441876373, 'e': 0.33287108369807955}",20,9,-139.86905574248783,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 3}",1
23,False,"{'a': 0.877939441876373, 'e': 0.31663676937905316}",20,0,-78.26017744224109,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
24,False,"{'a': 0.877939441876373, 'e': 0.301194211912202}",20,0,-12.865601645668413,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
25,False,"{'a': 0.877939441876373, 'e': 0.2865047968601901}",20,11,-33.82249908353943,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
26,False,"{'a': 0.877939441876373, 'e': 0.2725317930340126}",20,13,-10.671781689395296,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
27,False,"{'a': 0.877939441876373, 'e': 0.2592402606458915}",20,0,25.253138318050524,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.877939441876373, 'e': 0.24659696394160643}",20,0,-83.03260710342514,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
29,False,"{'a': 0.877939441876373, 'e': 0.23457028809379762}",25,13,11.13079699969458,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.877939441876373, 'e': 0.22313016014842982}",20,0,-85.83952140081288,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
31,False,"{'a': 0.877939441876373, 'e': 0.21224797382674304}",25,9,-14.159084459798152,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
32,False,"{'a': 0.877939441876373, 'e': 0.20189651799465538}",30,21,15.15242305134033,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.877939441876373, 'e': 0.19204990862075408}",20,13,-10.581299687490947,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
34,False,"{'a': 0.877939441876373, 'e': 0.1826835240527346}",25,7,-1.6646427789395686,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
35,False,"{'a': 0.877939441876373, 'e': 0.17377394345044514}",20,12,-28.273805595658374,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
36,False,"{'a': 0.877939441876373, 'e': 0.16529888822158653}",20,15,9.27755809487422,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.877939441876373, 'e': 0.1572371663136276}",30,19,17.628535951749072,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.877939441876373, 'e': 0.14956861922263504}",20,13,7.639384768913006,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.877939441876373, 'e': 0.14227407158651353}",25,11,22.825986180252052,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.877939441876373, 'e': 0.1353352832366127}",25,3,11.084398718039875,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.877939441876373, 'e': 0.12873490358780418}",20,12,-7.201920151454289,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.877939441876373, 'e': 0.1224564282529819}",20,4,-15.24407889115019,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
43,False,"{'a': 0.877939441876373, 'e': 0.11648415777349697}",25,4,-31.187642666876933,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 1}",1
44,False,"{'a': 0.877939441876373, 'e': 0.11080315836233387}",20,6,17.16325264011273,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.877939441876373, 'e': 0.10539922456186433}",20,0,-79.1196516268898,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
46,False,"{'a': 0.877939441876373, 'e': 0.1002588437228037}",20,0,-63.545087624530375,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
47,False,"{'a': 0.877939441876373, 'e': 0.09536916221554961}",20,0,-28.838231427082135,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
48,False,"{'a': 0.877939441876373, 'e': 0.09071795328941247}",20,14,13.456387196697555,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.877939441876373, 'e': 0.0862935864993705}",25,15,2.831201816475512,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.877939441876373, 'e': 0.0820849986238988}",20,4,16.024951291169906,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.877939441876373, 'e': 0.07808166600115313}",20,16,7.044812791150958,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.877939441876373, 'e': 0.07427357821433388}",30,21,-27.393416183404653,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
53,False,"{'a': 0.877939441876373, 'e': 0.07065121306042957}",30,18,-45.62218414400785,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
54,False,"{'a': 0.877939441876373, 'e': 0.06720551273974976}",20,0,12.365083631485398,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
55,False,"{'a': 0.877939441876373, 'e': 0.06392786120670757}",25,17,11.795232611810636,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.877939441876373, 'e': 0.06081006262521795}",25,5,18.672774702945073,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.877939441876373, 'e': 0.057844320874838456}",20,0,26.351885364065616,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.877939441876373, 'e': 0.05502322005640721}",20,7,5.85944614096462,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.877939441876373, 'e': 0.05233970594843238}",25,16,15.15781222074989,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.877939441876373, 'e': 0.049787068367863944}",25,0,-39.73332840290217,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
61,False,"{'a': 0.877939441876373, 'e': 0.04735892439114091}",20,12,17.31750352747752,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.877939441876373, 'e': 0.0450492023935578}",25,14,0.6607524666213975,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.877939441876373, 'e': 0.042852126867040166}",20,15,7.1618062550770905,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",35,23,15.661849730855089,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,-12.857668410900454,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,5,24.97137751773135,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,4,25.2154412998873,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,0,-4.257211519715
