trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.877939441876373, 'e': 0.877939441876373}",25,0,-169.23113964902868,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
2,False,"{'a': 0.877939441876373, 'e': 0.7707776636021972}",25,15,-19.98738402593351,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
3,False,"{'a': 0.877939441876373, 'e': 0.6766961117936878}",20,0,-73.21465303472147,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.877939441876373, 'e': 0.594098206708062}",20,5,-10.735503336216434,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
5,False,"{'a': 0.877939441876373, 'e': 0.52158224801703}",20,11,10.342583256681143,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.877939441876373, 'e': 0.45791762771669525}",30,0,-235.29854673702997,"{0: 13, 1: 7, 2: 6, 3: 0, 4: 4}",0
7,False,"{'a': 0.877939441876373, 'e': 0.40202394650294815}",20,0,4.3792682504468186,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.877939441876373, 'e': 0.35295267921373513}",25,0,-29.228535581402753,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.877939441876373, 'e': 0.3098710781976771}",25,0,-171.2248657994124,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
10,False,"{'a': 0.877939441876373, 'e': 0.2720480414464986}",25,0,-75.71894567257803,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.877939441876373, 'e': 0.23884170567109933}",25,0,-47.52999189017356,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.877939441876373, 'e': 0.2096885537736859}",20,15,-2.508860361291365,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.877939441876373, 'e': 0.18409385186793362}",25,0,-72.78380579086489,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
14,False,"{'a': 0.877939441876373, 'e': 0.16162325356180532}",30,6,-9.751533403122526,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 0}",1
15,False,"{'a': 0.877939441876373, 'e': 0.14189542902629487}",30,0,-20.183772996981133,"{0: 26, 1: 3, 2: 0, 3: 0, 4: 1}",0
16,False,"{'a': 0.877939441876373, 'e': 0.12457559376415381}",25,0,-109.60649167041818,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.877939441876373, 'e': 0.10936982726071896}",30,11,-40.36197107839712,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 0}",1
18,False,"{'a': 0.877939441876373, 'e': 0.09602008510339093}",35,0,-42.90691966571077,"{0: 30, 1: 2, 2: 1, 3: 1, 4: 1}",0
19,False,"{'a': 0.877939441876373, 'e': 0.08429981992459286}",20,2,-21.29388632333593,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.877939441876373, 'e': 0.0740101368548758}",20,12,-6.862267374298263,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
21,False,"{'a': 0.877939441876373, 'e': 0.06497641824356364}",20,0,-54.849512926473025,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
22,False,"{'a': 0.877939441876373, 'e': 0.05704536036788004}",20,0,-9.838842268759617,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
23,False,"{'a': 0.877939441876373, 'e': 0.05008237184301317}",30,18,-83.93462498069759,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 2}",1
24,False,"{'a': 0.877939441876373, 'e': 0.04396928958369996}",20,0,-24.632374853974977,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
25,False,"{'a': 0.877939441876373, 'e': 0.03860237355681416}",25,3,-31.918027354543394,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,2,17.447673513180145,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,0,30.94201293655926,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,8.110034999553214,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,18,15.169404853206194,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,10,-35.73242659450219,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,6,-51.61534414132787,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,8,10.491455992009618,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",35,17,-50.0788546974254,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
9,True,"{'a': 0, 'e': 0}",25,0,-26.52925391198696,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,5,16.240940261184498,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,0,12.985221091362547,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
12,True,"{'a': 0, 'e': 0}",25,1,19.261448841842842,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",25,7,17.863317303491012,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,7,-23.413800976336265,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
15,True,"{'a': 0, 'e': 0}",20,13,-70.21218814146121,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 2}",1
16,True,"{'a': 0, 'e': 0}",20,8,7.784569140367957,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,12,0.21455389156262417,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",30,12,21.49815030809476,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",20,6,21.65820745729907,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",20,4,25.885217694021744,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
