trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.877939441876373, 'e': 0.4156384771482544}",20,0,-113.86285723762711,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.877939441876373, 'e': 0.17275534368612003}",20,0,-32.9236632662139,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.877939441876373, 'e': 0.07180376796892222}",25,19,0.10414550726749705,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.877939441876373, 'e': 0.02984440877210945}",25,5,-168.45447477284753,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",1
5,False,"{'a': 0.877939441876373, 'e': 0.01240448461342958}",25,0,-123.60409939242948,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.877939441876373, 'e': 0.005155781094534823}",25,0,-130.59814437542704,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.877939441876373, 'e': 0.002142941002642215}",25,0,-44.48748990341741,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
8,False,"{'a': 0.877939441876373, 'e': 0.0008906887349567635}",20,0,-31.929369402624605,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.877939441876373, 'e': 0.00037020450941053427}",30,1,-100.40572591813753,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 3}",1
10,False,"{'a': 0.877939441876373, 'e': 0.00015387123852481118}",20,0,-10.363259751336333,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
11,False,"{'a': 0.877939441876373, 'e': 6.395480725736831e-05}",20,0,-37.49280957364763,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.877939441876373, 'e': 2.658207869476269e-05}",20,6,15.52753772053793,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.877939441876373, 'e': 1.104853470812622e-05}",20,0,-15.557123492563955,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
14,False,"{'a': 0.877939441876373, 'e': 4.592196140805222e-06}",25,0,-16.365192527747656,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.877939441876373, 'e': 1.908693410730373e-06}",30,24,10.392697918589484,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.877939441876373, 'e': 7.933264225788797e-07}",25,13,-10.985388603056682,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
17,False,"{'a': 0.877939441876373, 'e': 3.29736986162158e-07}",20,0,15.167483658543453,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.877939441876373, 'e': 1.3705137878789435e-07}",25,2,-122.79461772064579,"{0: 16, 1: 1, 2: 2, 3: 2, 4: 2}",1
19,False,"{'a': 0.877939441876373, 'e': 5.6963826370468974e-08}",20,0,-42.55609267428664,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.877939441876373, 'e': 2.3676358045159335e-08}",25,0,-3.836341698611923,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,4,-28.579347482066172,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,4,22.52489576259423,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,11,15.348850635111708,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,17.25301859052323,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,2,4.953102561244303,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,-25.867127995278164,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-50.49722619690283,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",25,8,-34.40787251956516,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",30,0,-31.38523604288889,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",1
