trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3909989169314102, 'e': 1.0}",30,0,-100.83558721164451,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.3909989169314102, 'e': 0.25}",25,0,-56.12781414227627,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.3909989169314102, 'e': 0.1111111111111111}",20,0,-152.90157688183484,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.3909989169314102, 'e': 0.0625}",25,0,-106.23251064097119,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.3909989169314102, 'e': 0.04}",20,0,16.933828420381925,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.3909989169314102, 'e': 0.027777777777777776}",20,0,-47.80423148088625,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.3909989169314102, 'e': 0.02040816326530612}",20,11,-27.76116521139963,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,False,"{'a': 0.3909989169314102, 'e': 0.015625}",20,0,-13.127279102471642,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.3909989169314102, 'e': 0.012345679012345678}",25,17,5.53095030781657,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.3909989169314102, 'e': 0.01}",25,12,-125.69349525051572,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 3}",1
11,False,"{'a': 0.3909989169314102, 'e': 0.008264462809917356}",20,0,-58.324561553729204,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.3909989169314102, 'e': 0.006944444444444444}",30,0,-48.920761163389415,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.3909989169314102, 'e': 0.005917159763313609}",30,0,-9.121404877041675,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
14,False,"{'a': 0.3909989169314102, 'e': 0.00510204081632653}",20,0,-65.32439611505053,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
15,False,"{'a': 0.3909989169314102, 'e': 0.0044444444444444444}",25,0,-20.907887782992155,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",1
16,False,"{'a': 0.3909989169314102, 'e': 0.00390625}",20,0,-17.299822947540974,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.3909989169314102, 'e': 0.0034602076124567475}",25,0,-0.48665058231073854,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.3909989169314102, 'e': 0.0030864197530864196}",25,19,11.96254021725115,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.3909989169314102, 'e': 0.002770083102493075}",25,0,-82.84045506405099,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 2}",0
20,False,"{'a': 0.3909989169314102, 'e': 0.0025}",20,0,-10.134909100230384,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-61.94093161781478,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",30,18,-62.81221485134676,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
3,True,"{'a': 0, 'e': 0}",25,0,-32.304761902691844,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-29.825403597293548,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-57.455771638568336,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",30,0,17.622500533132136,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,22.56096422304926,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,7,-10.542081752367746,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,-56.711686617446425,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",30,0,-30.05104618922324,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
11,True,"{'a': 0, 'e': 0}",30,0,14.715128870771334,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
12,True,"{'a': 0, 'e': 0}",35,0,-42.11175177625845,"{0: 30, 1: 0, 2: 4, 3: 0, 4: 1}",0
13,True,"{'a': 0, 'e': 0}",25,0,-1.9936325193765745,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
14,True,"{'a': 0, 'e': 0}",25,0,24.641549142778057,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
15,True,"{'a': 0, 'e': 0}",25,18,1.6889577505888278,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,0,-52.18419145621456,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
17,True,"{'a': 0, 'e': 0}",20,0,-15.504986949139537,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
