trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3909989169314102, 'e': 0.9245288218221855}",20,0,-149.2015238210815,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.3909989169314102, 'e': 0.7095070847598368}",20,0,-23.274601058856717,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.3909989169314102, 'e': 0.38739067647282527}",20,0,-120.42674700489394,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.3909989169314102, 'e': 0.006800606648804544}",20,0,-38.07591958067525,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
5,False,"{'a': 0.3909989169314102, 'e': -0.3748159627674345}",25,0,-112.35585376554221,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.3909989169314102, 'e': -0.6998569275638536}",25,0,-28.564733483702707,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.3909989169314102, 'e': -0.9192598386019736}",20,0,-36.89808445011565,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.3909989169314102, 'e': -0.9999075034984165}",30,0,-49.77476235330637,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.3909989169314102, 'e': -0.9296267736791342}",25,0,-40.93907765284908,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.3909989169314102, 'e': -0.7190259881094423}",20,0,14.50639618194803,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.3909989169314102, 'e': -0.39989372561357645}",20,3,-19.63741924555883,"{0: 13, 1: 3, 2: 0, 3: 1, 4: 0}",1
12,False,"{'a': 0.3909989169314102, 'e': -0.020400561881765866}",20,7,10.431333341476979,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.3909989169314102, 'e': 0.36217191073145644}",35,11,-79.57945724806646,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 2}",1
14,False,"{'a': 0.3909989169314102, 'e': 0.6900773017330529}",20,1,-145.99554323137895,"{0: 8, 1: 2, 2: 7, 3: 0, 4: 2}",1
15,False,"{'a': 0.3909989169314102, 'e': 0.9138207987435276}",20,0,-126.85215859232339,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.3909989169314102, 'e': 0.9996300311048715}",35,0,-128.4202085813637,"{0: 22, 1: 4, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 0.3909989169314102, 'e': 0.9345527510873951}",20,0,-67.30266904441783,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
18,False,"{'a': 0.3909989169314102, 'e': 0.7284118766821521}",20,0,-11.625459890204846,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.3909989169314102, 'e': 0.41232279721307863}",25,0,-85.57613939649241,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.3909989169314102, 'e': 0.03399674315351972}",35,0,-46.86000690854139,"{0: 32, 1: 0, 2: 1, 3: 0, 4: 2}",0
