trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3909989169314102, 'e': 0.9950124791926823}",20,0,-101.42239644569293,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.3909989169314102, 'e': 0.9900498337491681}",25,0,-179.61655670031624,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
3,False,"{'a': 0.3909989169314102, 'e': 0.9851119396030626}",25,5,-95.8463921913575,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",1
4,False,"{'a': 0.3909989169314102, 'e': 0.9801986733067553}",20,0,-55.57655771923904,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.3909989169314102, 'e': 0.9753099120283326}",20,0,-29.060853027887255,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.3909989169314102, 'e': 0.9704455335485082}",20,1,-69.62876240634917,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 1}",1
7,False,"{'a': 0.3909989169314102, 'e': 0.9656054162575665}",20,0,-89.47052530526466,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.3909989169314102, 'e': 0.9607894391523232}",20,0,-1.8091625660514499,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.3909989169314102, 'e': 0.9559974818331}",20,0,-131.91445613400424,"{0: 7, 1: 3, 2: 9, 3: 0, 4: 1}",0
10,False,"{'a': 0.3909989169314102, 'e': 0.951229424500714}",20,0,-85.7573787718391,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.3909989169314102, 'e': 0.9464851479534838}",25,0,-50.87391827069768,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.3909989169314102, 'e': 0.9417645335842487}",20,0,-27.12178346735137,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.3909989169314102, 'e': 0.9370674633774034}",20,2,-107.55746094948563,"{0: 7, 1: 1, 2: 9, 3: 1, 4: 0}",1
14,False,"{'a': 0.3909989169314102, 'e': 0.9323938199059483}",20,0,-63.84040214084558,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
15,False,"{'a': 0.3909989169314102, 'e': 0.9277434863285529}",20,0,-79.56533383521229,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.3909989169314102, 'e': 0.9231163463866358}",20,0,-91.42098430658581,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.3909989169314102, 'e': 0.9185122844014574}",30,0,-110.69443444455041,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.3909989169314102, 'e': 0.9139311852712282}",20,0,-102.77846771168822,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.3909989169314102, 'e': 0.9093729344682314}",20,0,-132.61091587288365,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.3909989169314102, 'e': 0.9048374180359595}",30,0,-194.82696886246956,"{0: 20, 1: 1, 2: 5, 3: 0, 4: 4}",0
21,False,"{'a': 0.3909989169314102, 'e': 0.9003245225862656}",25,7,-143.79839106700464,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 2}",1
22,False,"{'a': 0.3909989169314102, 'e': 0.8958341352965282}",35,0,-173.09529922936662,"{0: 18, 1: 4, 2: 11, 3: 1, 4: 1}",0
23,False,"{'a': 0.3909989169314102, 'e': 0.8913661439068313}",25,0,-67.56232358766063,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
24,False,"{'a': 0.3909989169314102, 'e': 0.8869204367171575}",20,0,-222.65773984621651,"{0: 8, 1: 3, 2: 4, 3: 1, 4: 4}",0
25,False,"{'a': 0.3909989169314102, 'e': 0.8824969025845955}",25,0,-141.99395290610974,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
26,False,"{'a': 0.3909989169314102, 'e': 0.8780954309205613}",20,0,-36.889744533875806,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
27,False,"{'a': 0.3909989169314102, 'e': 0.8737159116880344}",20,0,-31.657111550816833,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
28,False,"{'a': 0.3909989169314102, 'e': 0.8693582353988059}",20,3,-95.96504965431453,"{0: 10, 1: 1, 2: 3, 3: 2, 4: 1}",1
29,False,"{'a': 0.3909989169314102, 'e': 0.8650222931107413}",20,0,-107.16524601483194,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
30,False,"{'a': 0.3909989169314102, 'e': 0.8607079764250578}",25,0,-59.535382929826525,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
31,False,"{'a': 0.3909989169314102, 'e': 0.8564151774836135}",25,3,-28.54804015449654,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 0}",1
32,False,"{'a': 0.3909989169314102, 'e': 0.8521437889662113}",25,0,-185.56498769980433,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
33,False,"{'a': 0.3909989169314102, 'e': 0.8478937040879159}",25,0,-87.16065777013318,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
34,False,"{'a': 0.3909989169314102, 'e': 0.8436648165963837}",30,0,-86.55868157992225,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
35,False,"{'a': 0.3909989169314102, 'e': 0.8394570207692074}",20,0,-108.61078261500172,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
36,False,"{'a': 0.3909989169314102, 'e': 0.835270211411272}",35,0,-79.35264338601662,"{0: 23, 1: 3, 2: 9, 3: 0, 4: 0}",0
37,False,"{'a': 0.3909989169314102, 'e': 0.8311042838521256}",30,0,-73.27993932373843,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
38,False,"{'a': 0.3909989169314102, 'e': 0.8269591339433623}",20,0,-43.85512048670044,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
39,False,"{'a': 0.3909989169314102, 'e': 0.8228346580560184}",25,0,-63.12594257735095,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
40,False,"{'a': 0.3909989169314102, 'e': 0.8187307530779818}",30,15,-68.95375933818563,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 1}",1
41,False,"{'a': 0.3909989169314102, 'e': 0.8146473164114145}",20,0,-92.16722790465003,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
42,False,"{'a': 0.3909989169314102, 'e': 0.8105842459701871}",20,0,-82.56551188603297,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
43,False,"{'a': 0.3909989169314102, 'e': 0.8065414401773269}",20,9,-15.522732742806618,"{0: 6, 1: 5, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.3909989169314102, 'e': 0.8025187979624785}",30,3,-111.62806401167879,"{0: 17, 1: 1, 2: 7, 3: 1, 4: 1}",1
45,False,"{'a': 0.3909989169314102, 'e': 0.7985162187593771}",25,0,-111.95438274633156,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
46,False,"{'a': 0.3909989169314102, 'e': 0.794533602503334}",25,0,-91.03668194452712,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
47,False,"{'a': 0.3909989169314102, 'e': 0.7905708496287356}",30,16,-3.154033189290066,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.3909989169314102, 'e': 0.7866278610665535}",30,0,-138.85988774872055,"{0: 17, 1: 6, 2: 5, 3: 0, 4: 2}",0
49,False,"{'a': 0.3909989169314102, 'e': 0.7827045382418681}",20,0,-152.75091777160625,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
50,False,"{'a': 0.3909989169314102, 'e': 0.7788007830714049}",25,0,-76.6857875184123,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
51,False,"{'a': 0.3909989169314102, 'e': 0.774916497961081}",25,3,-90.64250704349183,"{0: 15, 1: 0, 2: 5, 3: 1, 4: 1}",1
52,False,"{'a': 0.3909989169314102, 'e': 0.7710515858035663}",20,2,-59.074731162083715,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 0}",1
53,False,"{'a': 0.3909989169314102, 'e': 0.7672059499758557}",30,0,-140.04285991963434,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
54,False,"{'a': 0.3909989169314102, 'e': 0.7633794943368531}",20,0,-47.41201740805495,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
55,False,"{'a': 0.3909989169314102, 'e': 0.7595721232249685}",20,15,1.216498088260873,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.3909989169314102, 'e': 0.7557837414557255}",25,0,-96.24050312312595,"{0: 19, 1: 1, 2: 1, 3: 3, 4: 1}",0
57,False,"{'a': 0.3909989169314102, 'e': 0.7520142543193826}",35,0,-149.225418438485,"{0: 21, 1: 4, 2: 7, 3: 2, 4: 1}",0
58,False,"{'a': 0.3909989169314102, 'e': 0.7482635675785653}",20,0,-134.26338836022026,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
59,False,"{'a': 0.3909989169314102, 'e': 0.7445315874659094}",30,0,-85.25670232857624,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
60,False,"{'a': 0.3909989169314102, 'e': 0.7408182206817179}",25,0,-190.24980080559612,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
