trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.9900498337491681}",25,0,-101.45916404632943,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.6, 'e': 0.9801986733067553}",25,0,-144.8041903177509,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 3}",0
3,False,"{'a': 0.6, 'e': 0.9704455335485082}",25,0,-178.2842332509564,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.6, 'e': 0.9607894391523232}",20,5,-95.54729309229222,"{0: 6, 1: 3, 2: 5, 3: 0, 4: 1}",1
5,False,"{'a': 0.6, 'e': 0.951229424500714}",35,14,-81.15503082837151,"{0: 11, 1: 1, 2: 9, 3: 0, 4: 0}",1
6,False,"{'a': 0.6, 'e': 0.9417645335842487}",20,0,-67.92250267999853,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.6, 'e': 0.9323938199059483}",20,0,-165.32377664300276,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.6, 'e': 0.9231163463866358}",25,0,-100.70195058618047,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.6, 'e': 0.9139311852712282}",20,0,-34.58233779091406,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.6, 'e': 0.9048374180359595}",30,0,-101.77741816258343,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.6, 'e': 0.8958341352965282}",30,0,-189.81442291228612,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
12,False,"{'a': 0.6, 'e': 0.8869204367171575}",20,0,-99.5741886352824,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.6, 'e': 0.8780954309205613}",25,0,-75.7322867776372,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",1
14,False,"{'a': 0.6, 'e': 0.8693582353988059}",20,14,2.8863954435818946,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.6, 'e': 0.8607079764250578}",25,0,-126.62093410950605,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.6, 'e': 0.8521437889662113}",30,0,-95.32827455719321,"{0: 17, 1: 2, 2: 11, 3: 0, 4: 0}",0
17,False,"{'a': 0.6, 'e': 0.8436648165963837}",25,0,-166.23707520894146,"{0: 16, 1: 3, 2: 1, 3: 2, 4: 3}",0
18,False,"{'a': 0.6, 'e': 0.835270211411272}",30,3,-173.10960544665954,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 3}",1
19,False,"{'a': 0.6, 'e': 0.8269591339433623}",20,0,-23.69811072137883,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.6, 'e': 0.8187307530779818}",20,0,-31.340914140370895,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
21,False,"{'a': 0.6, 'e': 0.8105842459701871}",20,0,-97.08052096032087,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
22,False,"{'a': 0.6, 'e': 0.8025187979624785}",20,0,-62.480531080851165,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
23,False,"{'a': 0.6, 'e': 0.794533602503334}",20,0,-112.74086992968338,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
24,False,"{'a': 0.6, 'e': 0.7866278610665535}",30,0,-167.5214316593231,"{0: 17, 1: 6, 2: 4, 3: 0, 4: 3}",0
25,False,"{'a': 0.6, 'e': 0.7788007830714049}",20,0,-123.09546308683598,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
26,False,"{'a': 0.6, 'e': 0.7710515858035663}",25,7,-71.95643397488372,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 1}",1
27,False,"{'a': 0.6, 'e': 0.7633794943368531}",20,16,8.64253663740963,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.6, 'e': 0.7557837414557255}",25,11,-3.749282688316672,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
29,False,"{'a': 0.6, 'e': 0.7482635675785653}",25,0,-124.65070743066036,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
30,False,"{'a': 0.6, 'e': 0.7408182206817179}",20,0,-209.3655420508819,"{0: 8, 1: 3, 2: 5, 3: 0, 4: 4}",0
31,False,"{'a': 0.6, 'e': 0.7334469562242892}",35,10,-117.75678163495418,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",1
32,False,"{'a': 0.6, 'e': 0.7261490370736909}",30,0,-251.98700627098805,"{0: 14, 1: 2, 2: 10, 3: 0, 4: 4}",0
33,False,"{'a': 0.6, 'e': 0.7189237334319262}",20,0,-32.42544169977122,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
34,False,"{'a': 0.6, 'e': 0.7117703227626097}",20,0,-186.7853083068404,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
35,False,"{'a': 0.6, 'e': 0.7046880897187134}",35,0,-48.78671109069109,"{0: 28, 1: 3, 2: 3, 3: 0, 4: 1}",0
36,False,"{'a': 0.6, 'e': 0.697676326071031}",30,0,-93.68280570462278,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
37,False,"{'a': 0.6, 'e': 0.6907343306373547}",25,1,-38.249423219031115,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 0}",1
38,False,"{'a': 0.6, 'e': 0.6838614092123558}",25,0,-60.245909724955894,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
39,False,"{'a': 0.6, 'e': 0.6770568744981647}",30,4,-104.00811633696682,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 2}",1
40,False,"{'a': 0.6, 'e': 0.6703200460356393}",20,0,-68.35564575733241,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
41,False,"{'a': 0.6, 'e': 0.6636502501363194}",30,19,14.22846480912333,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.6, 'e': 0.6570468198150567}",20,1,-2.9768282019931664,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.6, 'e': 0.6505090947233165}",20,0,-113.5828286525289,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
44,False,"{'a': 0.6, 'e': 0.6440364210831414}",25,0,-85.01689396423251,"{0: 12, 1: 5, 2: 8, 3: 0, 4: 0}",0
45,False,"{'a': 0.6, 'e': 0.6376281516217733}",20,0,-45.85812026687242,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
46,False,"{'a': 0.6, 'e': 0.631283645506926}",30,15,2.062277495665727,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
47,False,"{'a': 0.6, 'e': 0.6250022682827008}",20,0,-71.75416638477434,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
48,False,"{'a': 0.6, 'e': 0.6187833918061408}",25,2,-89.97286898161909,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 1}",1
49,False,"{'a': 0.6, 'e': 0.6126263941844161}",20,15,4.86477276930516,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.6, 'e': 0.6065306597126334}",30,12,-54.46328637750594,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
51,False,"{'a': 0.6, 'e': 0.6004955788122659}",25,11,-43.627165238778,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
52,False,"{'a': 0.6, 'e': 0.5945205479701944}",25,0,-100.6623004684929,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
53,False,"{'a': 0.6, 'e': 0.5886049696783552}",20,0,-5.675473912682151,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
54,False,"{'a': 0.6, 'e': 0.5827482523739896}",25,10,5.254953281518118,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.6, 'e': 0.5769498103804866}",20,0,-58.04846324089951,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
56,False,"{'a': 0.6, 'e': 0.5712090638488149}",20,0,-79.47815135598316,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
57,False,"{'a': 0.6, 'e': 0.5655254386995371}",20,0,-20.17511724541141,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
58,False,"{'a': 0.6, 'e': 0.559898366565402}",20,2,16.105774917421172,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.6, 'e': 0.5543272847345071}",20,12,0.7750908596210282,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.6, 'e': 0.5488116360940265}",25,0,-39.57813756155559,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
61,False,"{'a': 0.6, 'e': 0.5433508690744998}",20,4,-107.88402775159206,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 2}",1
