trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.9950124791926823}",25,17,-28.551517486503815,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,False,"{'a': 0.8, 'e': 0.9900498337491681}",20,0,-97.42649852083287,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.8, 'e': 0.9851119396030626}",25,0,-64.77195047129881,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.8, 'e': 0.9801986733067553}",20,0,-73.26890548055425,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.8, 'e': 0.9753099120283326}",20,0,-78.65712290340632,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.8, 'e': 0.9704455335485082}",30,0,-151.73477334757146,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.8, 'e': 0.9656054162575665}",30,0,-184.149906932681,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
8,False,"{'a': 0.8, 'e': 0.9607894391523232}",20,0,-114.50609007978159,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",1
9,False,"{'a': 0.8, 'e': 0.9559974818331}",20,2,-113.32892542057063,"{0: 10, 1: 4, 2: 1, 3: 1, 4: 2}",1
10,False,"{'a': 0.8, 'e': 0.951229424500714}",35,0,-173.40126005421646,"{0: 22, 1: 4, 2: 5, 3: 2, 4: 2}",0
11,False,"{'a': 0.8, 'e': 0.9464851479534838}",30,0,-150.01201081540262,"{0: 16, 1: 7, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.8, 'e': 0.9417645335842487}",25,0,-184.63676968757065,"{0: 12, 1: 5, 2: 5, 3: 0, 4: 3}",0
13,False,"{'a': 0.8, 'e': 0.9370674633774034}",20,0,-26.978991118734793,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.8, 'e': 0.9323938199059483}",20,0,-105.71509112995734,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.8, 'e': 0.9277434863285529}",20,0,-35.751682779852075,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.8, 'e': 0.9231163463866358}",20,0,-137.20599789309037,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
17,False,"{'a': 0.8, 'e': 0.9185122844014574}",20,0,-69.24902393674233,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.8, 'e': 0.9139311852712282}",30,0,-145.90235490873113,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.8, 'e': 0.9093729344682314}",20,0,-121.91215254680122,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.8, 'e': 0.9048374180359595}",25,10,-69.35889245715661,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 1}",1
21,False,"{'a': 0.8, 'e': 0.9003245225862656}",25,0,-115.24143078407468,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.8, 'e': 0.8958341352965282}",25,0,-27.178479253838216,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
23,False,"{'a': 0.8, 'e': 0.8913661439068313}",20,0,-46.06215034335693,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
24,False,"{'a': 0.8, 'e': 0.8869204367171575}",25,0,-93.37258234031871,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
25,False,"{'a': 0.8, 'e': 0.8824969025845955}",20,0,-143.13719421696638,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
26,False,"{'a': 0.8, 'e': 0.8780954309205613}",25,0,-155.36555307900278,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
27,False,"{'a': 0.8, 'e': 0.8737159116880344}",25,0,-112.86759197684911,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
