trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.5}",20,0,-100.43015150094553,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.5}",20,16,6.883415225603611,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.5}",20,0,-156.92631751105782,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.5}",25,0,-79.93376847075795,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.5}",30,1,-127.44095965822592,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.5}",25,11,-25.81216775543996,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.5}",20,0,-152.10474033752263,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5}",30,5,-64.0977748023222,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5}",20,0,-82.26310037509673,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.5}",30,0,-219.1981396611071,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.5}",25,11,-26.259138259169067,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.5}",20,0,-111.71220313353854,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.5}",30,0,-191.30050609597163,"{0: 20, 1: 3, 2: 2, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.5}",20,0,-96.36075570879053,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.5}",20,0,-134.12469648096464,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.5}",30,0,-131.33291034127737,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.5}",20,0,-72.82069096896768,"{0: 13, 1: 5, 2: 0, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.5}",20,0,-88.5515730757712,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.5}",25,0,-101.89673888993072,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.5}",20,0,-122.91544754618687,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-63.96840975259449,"{0: 9, 1: 7, 2: 4, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-84.55348107931798,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,0,-141.0642306314863,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-209.65729010874327,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 4}",0
5,True,"{'a': 0, 'e': 0}",25,0,-131.22376363065047,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,0,-127.18259311572459,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,0,-123.52952440563605,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,8,-32.99118951564661,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,-39.23240226534699,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",30,1,-105.71873715404476,"{0: 17, 1: 5, 2: 4, 3: 3, 4: 0}",1
