trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9397614525875638, 'e': 0.9397614525875638}",20,0,-49.926873659592495,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.9397614525875638, 'e': 0.883151587769488}",20,0,-44.892176543954676,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
3,False,"{'a': 0.9397614525875638, 'e': 0.8299518189772674}",25,0,-155.08132158098843,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.9397614525875638, 'e': 0.7799567269797676}",30,0,-173.15143952188183,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
5,False,"{'a': 0.9397614525875638, 'e': 0.7329732667019484}",20,0,-103.89841928970223,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
6,False,"{'a': 0.9397614525875638, 'e': 0.6888200218236749}",25,10,3.33122384147835,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.9397614525875638, 'e': 0.647326504280414}",20,0,-78.5418325753903,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
8,False,"{'a': 0.9397614525875638, 'e': 0.6083324959609918}",20,0,-33.642826222566335,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
9,False,"{'a': 0.9397614525875638, 'e': 0.5716874300605199}",30,0,-98.21000685772457,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.9397614525875638, 'e': 0.5372498096997255}",20,11,-50.51827670931703,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.9397614525875638, 'e': 0.5048866615658063}",25,0,-127.18656770525915,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.9397614525875638, 'e': 0.47447302246516787}",20,9,9.115514678687994,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.9397614525875638, 'e': 0.4458914568054779}",25,7,-40.65145817565501,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.9397614525875638, 'e': 0.4190316031439009}",25,0,-93.467027471658,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.9397614525875638, 'e': 0.3937897480506079}",20,0,-112.75100119528727,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 3}",0
16,False,"{'a': 0.9397614525875638, 'e': 0.37006842564213005}",20,0,-93.85005653170114,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.9397614525875638, 'e': 0.347776041238241}",25,14,-22.73906150666827,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.9397614525875638, 'e': 0.32682651768920185}",25,5,-24.683422532321387,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
19,False,"{'a': 0.9397614525875638, 'e': 0.30713896300773946}",20,4,13.146098772751449,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.9397614525875638, 'e': 0.28863735802239127}",25,15,16.717555748687793,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.9397614525875638, 'e': 0.27125026284615916}",25,0,-63.08289983860245,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",1
22,False,"{'a': 0.9397614525875638, 'e': 0.254910541027065}",20,0,-79.63027375577204,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
23,False,"{'a': 0.9397614525875638, 'e': 0.23955510031547642}",20,6,-20.41873997734452,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
24,False,"{'a': 0.9397614525875638, 'e': 0.22512464904723167}",20,8,19.590453793224786,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.9397614525875638, 'e': 0.21156346720189195}",25,16,14.287117424650582,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.9397614525875638, 'e': 0.19881919125211142}",25,0,-34.86163114913498,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
27,False,"{'a': 0.9397614525875638, 'e': 0.18684261197336888}",20,0,22.701643260763806,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.9397614525875638, 'e': 0.17558748443334768}",20,0,8.341816759246047,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.9397614525875638, 'e': 0.16501034942727907}",20,4,-26.769369613405388,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
30,False,"{'a': 0.9397614525875638, 'e': 0.15507036566976126}",20,0,5.3462594162627175,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
31,False,"{'a': 0.9397614525875638, 'e': 0.14572915209509954}",25,13,-59.24940603612305,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
32,False,"{'a': 0.9397614525875638, 'e': 0.13695063965724474}",20,15,4.046950119674403,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.9397614525875638, 'e': 0.12870093205708835}",20,
