trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8007624917130461, 'e': 0.8007624917130461}",25,9,-86.32617247087809,"{0: 9, 1: 1, 2: 5, 3: 0, 4: 1}",1
2,False,"{'a': 0.8007624917130461, 'e': 0.6412205681344862}",20,0,-116.26465016630165,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.8007624917130461, 'e': 0.5134653798770263}",20,0,-50.68901972560031,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.8007624917130461, 'e': 0.4111638169987134}",20,0,-90.74889832505697,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
5,False,"{'a': 0.8007624917130461, 'e': 0.32924456260213664}",20,0,-91.4845911540357,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.8007624917130461, 'e': 0.26364669633225896}",20,0,-50.813212434977075,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.8007624917130461, 'e': 0.21111838548693249}",25,0,-99.92526373019686,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.8007624917130461, 'e': 0.16905568440895147}",20,3,24.35810509005876,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.8007624917130461, 'e': 0.13537345108556634}",35,22,-49.51519773244881,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.8007624917130461, 'e': 0.10840198200307227}",20,16,7.459358712804461,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.8007624917130461, 'e': 0.08680424121541294}",20,6,-58.533029902486916,"{0: 9, 1: 0, 2: 3, 3: 2, 4: 0}",1
12,False,"{'a': 0.8007624917130461, 'e': 0.06950958048691436}",20,0,-74.18959823133679,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
13,False,"{'a': 0.8007624917130461, 'e': 0.055660664868630076}",25,17,13.12509535605152,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.8007624917130461, 'e': 0.04457097269060903}",20,0,-4.447102242494385,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.8007624917130461, 'e': 0.035690763149806216}",25,0,22.082075697170094,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.8007624917130461, 'e': 0.028579824430978996}",25,0,-41.41467121699505,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.8007624917130461, 'e': 0.02288565142407213}",25,0,-42.587875779250034,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
18,False,"{'a': 0.8007624917130461, 'e': 0.018325971258816222}",30,0,-45.67079748357579,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.8007624917130461, 'e': 0.014674750408271348}",20,0,21.694873260793813,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.8007624917130461, 'e': 0.011750989702194405}",20,6,-27.525986600628904,"{0: 11, 1: 1, 2: 0, 3: 2, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,8,-21.279742467952996,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,0,-3.177565064846422,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-25.18057534610787,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,5,-61.013207548587985,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",25,8,-60.096635747210115,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 2}",1
6,True,"{'a': 0, 'e': 0}",30,9,-27.591899860369622,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",30,0,-50.42535636040114,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",25,0,-120.05281200860662,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",20,6,5.751437367096292,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,-25.319378404426647,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
11,True,"{'a': 0, 'e': 0}",20,0,-57.4193845863214,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
12,True,"{'a': 0, 'e': 0}",30,0,-38.87045070778215,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
13,True,"{'a': 0, 'e': 0}",25,13,21.378685266364513,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",30,7,-6.669508428314904,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",25,0,20.16747000322667,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
16,True,"{'a': 0, 'e': 0}",20,0,26.776113478524397,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,True,"{'a': 0, 'e': 0}",20,0,-49.216307553555545,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
18,True,"{'a': 0, 'e': 0}",25,0,-56.02525907909301,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
19,True,"{'a': 0, 'e': 0}",30,4,-32.45205049528215,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 1}",1
20,True,"{'a': 0, 'e': 0}",20,1,-60.11886720251134,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 2}",1
