trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.0009236309099862616, 'e': 0.9981544433180362}",20,0,-139.3735029996028,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.0009236309099862616, 'e': 0.9972329426500084}",20,0,-7.245816137675392,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
3,False,"{'a': 0.0009236309099862616, 'e': 0.9963122927155387}",25,0,-168.19679774318314,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
4,False,"{'a': 0.0009236309099862616, 'e': 0.9953924927292263}",35,0,-150.3875470839675,"{0: 24, 1: 2, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.0009236309099862616, 'e': 0.9944735419063948}",25,0,-185.21472402514982,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
6,False,"{'a': 0.0009236309099862616, 'e': 0.9935554394630932}",20,0,-103.23797938668308,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.0009236309099862616, 'e': 0.9926381846160933}",20,0,-143.4478556679602,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.0009236309099862616, 'e': 0.9917217765828905}",20,0,-134.5571775605456,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.0009236309099862616, 'e': 0.9908062145817026}",25,10,-87.85899069462424,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 1}",1
10,False,"{'a': 0.0009236309099862616, 'e': 0.989891497831469}",20,0,-174.4569780089823,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
11,False,"{'a': 0.0009236309099862616, 'e': 0.9889776255518501}",35,0,-150.68753227159152,"{0: 18, 1: 6, 2: 10, 3: 0, 4: 1}",0
12,False,"{'a': 0.0009236309099862616, 'e': 0.9880645969632269}",20,0,-4.610560876541451,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.0009236309099862616, 'e': 0.9871524112867002}",30,0,-283.8073752743752,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 5}",0
14,False,"{'a': 0.0009236309099862616, 'e': 0.9862410677440896}",20,0,-167.04347425275034,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
