trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9490947183470829, 'e': 1.0}",20,0,-90.74017540132724,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.9490947183470829, 'e': 0.25}",20,9,-48.094635954623,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
3,False,"{'a': 0.9490947183470829, 'e': 0.1111111111111111}",25,0,-151.49677607072297,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.9490947183470829, 'e': 0.0625}",20,0,-95.82942650364559,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
5,False,"{'a': 0.9490947183470829, 'e': 0.04}",30,0,-165.3607803951794,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
6,False,"{'a': 0.9490947183470829, 'e': 0.027777777777777776}",20,0,-60.67269321408683,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
7,False,"{'a': 0.9490947183470829, 'e': 0.02040816326530612}",25,0,2.8210208000533434,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.9490947183470829, 'e': 0.015625}",20,0,-42.261416787009416,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.9490947183470829, 'e': 0.012345679012345678}",20,0,-8.465381284255137,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.9490947183470829, 'e': 0.01}",20,0,-43.805304908128164,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.9490947183470829, 'e': 0.008264462809917356}",20,0,-69.5518174457317,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.9490947183470829, 'e': 0.006944444444444444}",25,0,-38.80512561855598,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.9490947183470829, 'e': 0.005917159763313609}",35,5,-53.515164568188254,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",1
14,False,"{'a': 0.9490947183470829, 'e': 0.00510204081632653}",25,10,-14.262668945741527,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
15,False,"{'a': 0.9490947183470829, 'e': 0.0044444444444444444}",20,0,-23.343985175642125,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.9490947183470829, 'e': 0.00390625}",35,0,-39.99753301872818,"{0: 30, 1: 3, 2: 0, 3: 1, 4: 1}",0
17,False,"{'a': 0.9490947183470829, 'e': 0.0034602076124567475}",30,2,-18.040699241005186,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.9490947183470829, 'e': 0.0030864197530864196}",20,5,-35.05691206377992,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.9490947183470829, 'e': 0.002770083102493075}",30,3,-9.510582781125228,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.9490947183470829, 'e': 0.0025}",20,9,-34.57957629844247,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,12,12.254329288442237,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,1,-139.04096997974165,"{0: 22, 1: 1, 2: 2, 3: 1, 4: 3}",1
3,True,"{'a': 0, 'e': 0}",25,10,-21.100174595142462,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,8,-82.46398291550607,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 2}",1
5,True,"{'a': 0, 'e': 0}",20,8,-23.988960876249344,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,4,14.945549301951726,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,10,-60.4337843046116,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",1
8,True,"{'a': 0, 'e': 0}",20,0,-24.640425605762736,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-20.452328919967307,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,3,25.051737017817477,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",25,12,14.280098177886515,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,0,21.44024522411703,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
13,True,"{'a': 0, 'e': 0}",30,14,12.122766144359096,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",25,0,-33.259323845110416,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
15,True,"{'a': 0, 'e': 0}",25,1,-26.436991016636785,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 1}",1
16,True,"{'a': 0, 'e': 0}",20,0,-30.35198489839601,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
17,True,"{'a': 0, 'e': 0}",20,16,5.466478840421779,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",25,17,-26.045941107402655,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,True,"{'a': 0, 'e': 0}",20,0,-89.99396084738534,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
20,True,"{'a': 0, 'e': 0}",30,0,-85.38850755423888,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 3}",0
