trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",20,10,-55.639517081766854,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 1}",1
2,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",20,0,-77.1642574654316,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
3,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",20,7,-56.699235087073404,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 1}",1
4,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",20,0,-36.85342896437149,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",20,12,-40.53938108516783,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
6,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",20,0,-71.27584424202767,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",20,0,-52.985079374883,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",20,15,1.9658229049985536,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",20,0,-30.046000261614218,"{0: 16, 1: 2, 2: 0, 3: 2, 4: 0}",0
10,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",20,12,6.963016732552502,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",20,0,-86.39500499601718,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",20,0,-68.1673934365828,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
13,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",25,18,10.119873331433364,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",25,0,-210.84162962214927,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 5}",0
15,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",25,0,-126.80359378883115,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
16,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",20,1,-79.25749441853947,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 2}",1
17,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",20,14,5.323419560161991,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",25,0,-77.6777993245767,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",25,0,-32.15939031482962,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",20,0,-24.656267038799264,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
21,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",30,0,-85.06959009804169,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 2}",0
22,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",25,2,-47.88813474603392,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 1}",1
23,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",35,19,16.417279870928247,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",20,0,6.260175092347165,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
25,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",25,0,-22.015024471611145,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
26,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",30,0,-63.936518643325165,"{0: 23, 1: 5, 2: 0, 3: 1, 4: 1}",0
27,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",25,5,-17.86457817122335,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
28,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",20,6,-59.18353968599636,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
29,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",30,4,-108.5279863779991,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 3}",1
30,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",20,6,-94.85043608744927,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 2}",1
31,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",20,14,-3.6938854106054944,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",20,11,16.724055307240764,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.2875494542380843, 'e': 0.2875494542380843}",25,0,-53.642169610733
