trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.5}",20,0,-165.89533740715476,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.5}",20,0,-227.58197599238778,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 5}",0
3,False,"{'a': 0.5, 'e': 0.5}",20,0,-70.49795193675816,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.5}",20,6,-31.45293522345719,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.5}",20,0,-111.79933489139809,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.5}",30,0,-127.25511187112255,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.5}",20,0,-161.98978672985004,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5}",30,0,-157.19638617229828,"{0: 15, 1: 4, 2: 9, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5}",25,0,-109.79285163289431,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.5}",20,0,-57.77332397387232,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.5}",25,11,-17.584396703747995,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.5}",25,0,-63.111457672463004,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.5}",25,0,-154.26757565289736,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.5}",20,0,-132.9428494706277,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.5}",25,0,-215.8744247071655,"{0: 10, 1: 5, 2: 6, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.5}",20,0,-86.74934901993176,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.5}",25,0,-141.25455736714196,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.5}",25,7,-29.506329482601316,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.5}",20,0,-86.74115022203844,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.5}",25,0,-113.99086971823243,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,12,-5.176538664910614,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,-86.5776929153102,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-136.21290808783084,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-65.1589023335694,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-64.08650178560394,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,0,-143.11496635515934,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,0,-119.73867068930694,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,-41.486579198936795,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-18.21058529856593,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-68.37449132813083,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
